objname,pgc,objtype,al1950,de1950,al2000,de2000,l2,b2,sgl,sgb,f_astrom,type,bar,ring,multiple,compactness,t,e_t,agnclass,logd25,e_logd25,logr25,e_logr25,pa,brief,e_brief,ut,e_ut,bt,e_bt,vt,e_vt,it,e_it,kt,e_kt,m21,e_m21,mfir,ube,bve,vmaxg,e_vmaxg,vmaxs,e_vmaxs,vdis,e_vdis,vrad,e_vrad,vopt,e_vopt,v,e_v,ag,ai,incl,a21,logdc,btc,itc,ubtc,bvtc,bri25,vrot,e_vrot,mg2,e_mg2,m21c,hic,vlg,vgsr,vvir,v3k,modz,e_modz,mod0,e_mod0,modbest,e_modbest,mabs,e_mabs
ESO489-007,18455,G ,6.100422,-23.9833382,6.1348715,-23.9918985,230.468766,-19.7716001,257.6724371,-76.2155946,0,,,,,,,,,0.832,0.054,0.115,0.032,10.74,19.146,0.655,,,14.932,0.422,,,13.335,0.096,11.457,0.234,,,,,,,,,,167.8,11.59,,,14668.9,34.7,14668.9,34.7,0.183,,40.72,0.02,,14.602,13.255,,,22.83,,,,,,,14457.8,14492.8,14420.4,14768.9,36.636,0.075,,,36.636,0.075,-22.033,0.429
ESO508-075,46959,G ,13.3801854,-24.3924876,13.4259386,-24.652353,312.7239673,37.5698556,142.1864878,0.1895686,0,Sc,,,,,5,2,,0.896,0.066,0.539,0.055,172.82,20.763,0.49,,,15.998,0.198,,,15.73,1.175,11.722,0.085,,,13.538,,,166,2.7,,,,,,,9939,32.2,9939,32.2,0.354,0.891,77.8,0.08,0.907,14.697,15.574,,,23.216,169.84,2.79,,,,,9733.4,9813,9896.8,10236,35.807,0.11,35.44,0.05,35.503,0.184,-20.806,0.27
ESO510-031,49713,G ,13.9248292,-23.1286468,13.9714355,-23.3716493,322.2278619,36.9826457,143.430306,7.669463,0,Sb,,,,,2.7,1.5,,0.95,0.092,0.286,0.049,75.23,22.583,0.337,,,15.732,0.188,,,13.86,0.077,12.216,0.152,,,,,,,,,,,,,,11019.2,39.2,11019.2,39.2,0.314,0.394,62.65,0.04,0.968,14.942,13.722,,,23.773,,,,,,,10841.5,10915.6,10999.6,11288.7,36.038,0.099,,,36.038,0.099,-21.097,0.213
ESO525-004,63175,G ,19.354352,-26.0833744,19.4055512,-25.9849533,12.5069193,-18.3134698,216.2607219,47.7006756,0,SABa,B,R,,,2.2,1.8,,1.039,0.04,0.183,0.025,91.99,,,,,14.75,0.5,,,12.895,0.094,10.836,0.107,,,,,,,,,,,,,,6093,28,6093,28,0.383,0.238,51.89,0.03,1.067,14.068,12.726,,,23.409,,,,,,,6149.4,6146.8,6091,5931.7,34.738,0.178,34.61,0.059,34.623,0.056,-20.555,0.503
ESO527-011,64161,G ,20.0917325,-25.605091,20.1419889,-25.4585556,16.7891438,-27.4649009,230.2357237,45.1105043,0,SABc,B,R,,,4.9,0.8,,1.136,0.029,0.358,0.019,172.17,,,,,14.77,0.397,,,12.467,0.406,10.676,0.087,,,12.285,0.48,0.88,208.61,3.65,,,,,,,8346.2,37.9,8346.2,37.9,0.612,0.6,66.69,0.04,1.18,13.513,12.198,,,23.521,227.16,4.02,,,,,8423,8410,8331.1,8133.8,35.423,0.131,,,35.423,0.131,-21.91,0.418
ESO538-008,73036,G ,23.916103,-22.2789537,23.9589393,-22.0005426,52.7202054,-76.7254211,271.2357565,6.8971921,0,Sb,,,,,3,0.4,,0.836,0.055,0.25,0.054,69.78,22.88,0.799,,,16.451,0.602,,,12.835,0.084,10.378,0.069,,,,,,,,,,,,,,10095.9,31,10095.9,31,0.107,0.363,58.85,0.03,0.836,15.905,12.788,,,23.957,,,,,,,10172.6,10132.7,9970.4,9778.7,35.817,0.109,,,35.817,0.109,-19.912,0.612
ESO538-013,73098,G ,23.9327312,-18.9923966,23.97552,-18.7139731,64.8287404,-75.2115592,274.4330253,7.7920162,1,Sab,,,,,2,1.4,,1.031,0.041,0.322,0.023,24.48,22.543,0.311,,,15.477,0.21,,,13.475,0.079,11.807,0.099,,,,,,,,,,,,,,10206,37,10206,37,0.095,0.39,66.72,0.04,1.027,14.89,13.433,,,23.919,,,,,,,10298.2,10253.8,10094.2,9879.6,35.844,0.108,35.959,0.023,35.959,0.023,-21.069,0.212
ESO544-031,8610,G ,2.2124772,-20.9999927,2.2512796,-20.7677367,199.0123703,-69.8912154,280.283639,-23.8334521,0,Sa,,,,,1.4,1.3,,0.981,0.04,0.306,0.027,6.24,21.744,0.302,,,15.402,0.217,,,13.115,0.079,10.92,0.13,,,,,,,,,,280,18.65,,,15903.8,30,15903.8,30,0.076,0.306,66.31,0.04,0.976,14.821,13.081,,,23.681,,,,,,,15894.7,15868.4,15707.8,15680.5,36.827,0.069,35.94,0.18,36.713,0.443,-21.891,0.494
ESO545-038,9874,G ,2.561926,-17.4801164,2.6010021,-17.2628739,196.1755009,-63.9203695,284.9740063,-28.2061113,0,Sbc,,R,,,3.9,2.5,,1.017,0.044,0.3,0.028,164.5,24.409,1.303,,,14.5,0.2,,,13.865,0.075,12.083,0.093,,,12.985,,,,,,,,,,,4666,24,4666,24,0.11,0.474,62.79,0.04,1.015,13.885,13.816,,,22.79,,,,,,,4654.2,4627.5,4474.5,4459,34.073,0.243,35.98,0.04,35.98,0.04,-22.095,0.204
ESO552-052,16595,G ,4.9977755,-21.2079765,5.0335292,-21.137,221.5458234,-33.085087,280.6805447,-62.6930539,0,E-S0,,,,,-3.2,1.2,,1.144,0.045,0.149,0.023,67.47,20.652,0.759,,,13.941,0.103,13.041,0.103,12.123,0.079,10.313,0.07,,,,,0.92,,,,,146.42,11.68,,,4591.3,25.7,4591.3,25.7,0.118,0,57.34,0.03,1.154,13.754,12.071,,0.824,23.391,,,0.273,0.01,,,4438.8,4452.9,4350,4593.1,34.013,0.25,34.055,0.062,34.055,0.062,-20.3,0.12
ESO554-033,17795,G ,5.7390249,-17.7991569,5.7757861,-17.7814722,222.2785521,-22.0867367,286.8142767,-73.4843251,0,Sbc,,,,,4.4,3,,1.008,0.041,0.521,0.029,100.95,21.967,0.312,,,15.78,0.2,,,14.405,0.072,12.349,0.413,,,,,,,,,,,,,,7494.8,60,7494.8,60,0.311,0.83,77.67,0.08,1.016,14.59,14.268,,,23.624,,,,,,,7318.2,7341.4,7266.1,7561.6,35.13,0.15,,,35.13,0.15,-20.541,0.25
ESO563-031,24913,G ,8.8333893,-17.5553359,8.8717611,-17.7444637,243.6906321,16.7161129,124.812125,-61.8724083,0,S0,B,,,,-2,0.4,,1.186,0.038,0.131,0.025,123.49,21.666,0.539,,,14.043,0.295,,,10.879,0.193,9.155,0.044,,,,,,,,,,116.52,4.91,,,1699.3,14.1,1699.3,14.1,0.846,0,49.92,0.02,1.277,13.172,10.507,,,23.709,,,0.266,0.009,,,1429.7,1498.3,1527.7,2000.1,31.754,0.71,,,31.754,0.71,-18.582,0.769
ESO567-057,30320,G ,10.3234069,-19.2421819,10.3633723,-19.4948302,261.0403348,30.9464765,128.8809432,-40.7548877,0,Sab,,,,,1.7,2,,0.964,0.068,0.406,0.047,90.7,21.5,0.365,,,15.07,0.186,,,13.145,0.08,10.863,0.071,,,13.067,,,,,,,,,,,5954.8,20.8,5954.8,20.8,0.268,0.44,74.6,0.06,0.973,14.302,13.027,,,23.107,,,,,,,5678.9,5760.6,5826.5,6307.8,34.647,0.186,,,34.647,0.186,-20.345,0.263
ESO571-015,36245,G ,11.6409516,-22.199923,11.6829868,-22.4772664,282.2789301,37.55252,134.6812171,-22.6994439,0,Sb,,,,,3.5,1,,1.188,0.029,0.75,0.025,34.05,,,,,15.92,0.5,,,13.592,0.111,11.007,0.09,15.5,0.102,,,0.9,195.08,3.02,,,,,7086.8,4.8,7138.1,39.2,7087.6,5.5,0.241,1.037,90,0.83,1.18,14.589,13.486,,,24.411,195.08,,,,14.674,0.084,6827.5,6913.6,6995.2,7441.2,35.042,0.155,,,35.042,0.155,-20.452,0.524
ESO573-014,39920,G ,12.3110304,-21.7183576,12.3543886,-21.9957355,293.7428716,40.3370365,135.8903896,-13.437613,0,Sc,,,,,6,2.2,,0.834,0.077,0.217,0.038,95.8,,,,,15.78,0.5,,,14.171,0.066,12.635,0.077,16.856,0.112,,,0.88,101.98,1.68,,,,,6854.5,5,6901,34.2,6855.5,5.9,0.219,0.384,53.93,0.03,0.846,15.146,14.075,,,23.262,126.16,2.2,,,16.828,1.682,6616.5,6700.9,6789.9,7197.1,34.976,0.16,35.118,0.021,35.118,0.021,-19.972,0.5
ESO576-040,46574,G ,13.3002429,-21.789166,13.3454905,-22.0510692,311.8446222,40.3132477,139.3740953,-0.1005719,0,SBcd,B,,,,6.7,0.9,,1.345,0.026,0.58,0.028,158.33,23.172,1.11,,,14.686,0.198,,,12.982,0.057,11.784,0.255,14.378,0.138,,,0.97,76.16,1.17,,,,,2085.4,2.9,2091.4,16.4,2085.6,2.2,0.488,1.023,78.01,0.08,1.367,13.167,12.767,,,24.01,77.86,1.2,,,14.297,1.131,1884.1,1962.9,2053.6,2390.1,32.384,0.528,32.325,0.045,32.325,0.045,-19.158,0.203
ESO576-054,47006,G ,13.3903897,-19.5171195,13.4354977,-19.7767178,314.001431,42.3481708,137.573436,1.775988,0,E-S0,B,,,,-2.9,0.6,,0.957,0.043,0.183,0.026,43.73,19.952,0.325,,,14.85,0.297,,,,,10.66,0.057,,,,,,,,,,235.9,11.39,,,7102.6,32.8,7102.6,32.8,0.366,0,62.83,0.04,0.997,14.378,,,,23.36,,,,,,,6911.9,6988.6,7084.8,7405.4,35.067,0.153,,,35.067,0.153,-20.69,0.334
ESO578-026,50478,G ,14.0984351,-21.3605927,14.145,-21.5971667,325.8425154,37.8132411,142.6402103,10.5549758,0,SBc,B,R,,,4.6,0.7,,1.214,0.038,0.237,0.029,73.46,,,,,14.545,0.407,,,12.855,0.071,10.562,0.356,15.162,0.185,13.6,,,91.57,5.06,,,,,8738.8,10.5,8719.9,21,8735,8.6,0.347,0.397,56.54,0.03,1.237,13.752,12.702,,,23.911,109.77,6.13,,,15.131,1.379,8571.1,8642.3,8729.4,8995.9,35.53,0.124,,,35.53,0.124,-21.778,0.426
ESO579-022,51410,G ,14.3481929,-19.2173882,14.3946944,-19.4438611,331.0280434,38.3437174,141.9634371,14.6172879,0,Sa,,R,,,1,2,,1.019,0.042,0.067,0.026,87.66,,,,,15.86,0.5,,,13.325,0.079,11.251,0.201,16.96,0.092,,,,71.73,3.81,,,,,10832,6.1,10814,95,10831.9,4.8,0.421,0.064,33,0.02,1.056,15.24,13.14,,,24.619,131.69,7.37,,,16.938,1.699,10687.3,10754.3,10844.1,11078.4,36.004,0.1,,,36.004,0.1,-20.764,0.51
ESO580-044,53034,G ,14.8056907,-21.1844105,14.8532857,-21.3898839,336.7958462,33.4902901,146.6352713,19.6593373,0,Sc,,,,,5,2,,0.864,0.048,0.154,0.024,,22.917,0.317,,,15.558,0.202,,,13.805,0.076,12.135,0.136,,,,,,,,,,,,,,16227,32.3,16227,32.3,0.507,0.265,46.75,0.02,0.906,14.697,13.582,,,23.323,,,,,,,16098.8,16161.5,16240.3,16439.9,36.899,0.067,,,36.899,0.067,-22.202,0.213
