SN_name,zhel,tmax(B),+/-,ref.,Dm15,Dm15_err,ref.,M_B,+/-,B-V,+/-,Bm-Vm,+/-,Phot.ref.
SN1993ac,0.0503,49269.2,1.2,Jha07,1.19,0.1,Phi99,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA1
SN1993ae,0.019,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA1
SN1994D,0.0029,49432.5,0.1,B_M_SA_SN,1.37,0.03,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,Jha07
SN1994M,0.0232,49474.5,0.9,B_M_SA_SN,1.26,0.06,B,-19.21,0.08,-0.11,0.06,-0.1,0.06,CfA1
SN1994Q,0.0295,49496.2,1.1,Jha07,1.03,0.1,Phi99,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA1
SN1994S,0.0151,49518.3,0.3,B_M_SA_SN,0.94,0.06,B,-19.55,0.09,-0.12,0.05,-0.11,0.05,CfA1
SN1994T,0.0346,49514.4,0.4,M_SN,1.51,0.08,SN,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA1
SN1994ae,0.0043,49685.5,0.8,B_M_SA_SN,0.96,0.04,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA1_Jha07
SN1995D,0.0067,49768.7,0.1,B_M_SA_SN,1.05,0.03,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA1_Jha07
SN1995E,0.012,49775.2,0.5,B_M_SA_SN,1.16,0.05,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA1
SN1995Y,0.0177,99999.9,9.9,N/A,9.99,9.99,N/A,-99.99,9.99,-9.99,9.99,-9.99,9.99,N/A
SN1995ac,0.0499,49993.1,0.5,B_M_SA_SN,0.77,0.04,B,-19.56,0.07,-0.13,0.05,-0.05,0.05,CfA1_Jha07
SN1995ak,0.0227,50021.6,1,B_M_SA_SN,1.25,0.07,B,-19.39,0.1,-0.13,0.07,-0.12,0.07,CfA1
SN1995al,0.0051,50029.1,0.6,B_M_SA_SN,0.87,0.04,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA1
SN1995bd,0.0146,50086.5,0.4,B_M_SA_SN,0.94,0.04,B,-99.99,9.99,-9.99,9.99,-9.99,9.99,CfA1
SN1996C,0.027,50128.5,0.3,B_M_SA_SN,0.93,0.06,B,-19.47,0.08,-0.12,0.06,-0.11,0.05,CfA1
