SN_name,RA,DEC,redshift,host_name,SN_type
SN1994D,188.51021,7.70131,0.001494,NGC4526,NV
SN1994S,187.84108,29.1345,0.015177,NGC4495,NV
SN1996ai,197.74221,37.05983,0.0029,NGC5005,NV
SN1996C,207.7025,49.31864,0.027,PGC049153,NV
SN1996X,199.50471,-26.84592,0.008876,NGC5061,NV
SN1997bp,191.72396,-11.64256,0.0083,NGC4680,HV
SN1997dt,345.01221,15.98081,0.0073,NGC7448,NV
SN1997Y,191.38083,54.73806,0.0159,NGC4675,NV
SN1998aq,179.10833,55.12744,0.003699,NGC3982,NV
SN1998bp,268.71129,18.33036,0.0105,NGC6495,NV
SN1998bu,161.69179,11.83531,0.002992,NGC3368,NV
SN1998co,326.90188,-13.17842,0.0182,NGC7131,NV
SN1998de,12.02867,27.62458,0.0167,NGC0252,91bg
SN1998dh,348.66796,4.53725,0.0087,NGC7541,NV
SN1998dk,3.634,-0.73636,0.0133,UGC00139,HV
SN1998dx,272.79954,49.86131,0.0542,UGC11149,NV
SN1998ef,15.86196,32.23678,0.0177,UGC00646,HV
SN1998eg,339.87608,8.60592,0.0249,UGC12133,NV
SN1998es,24.32292,5.88064,0.0106,NGC0632,91T
SN1998V,275.65583,15.70233,0.0174,NGC6627,NV
SN1999ac,241.81254,7.97233,0.0095,NGC6063,91T
SN1999cc,240.67513,37.35956,0.0314,NGC6038,NV
SN1999cl,187.98337,14.42647,0.0078,NGC4501,HV
SN1999dq,38.49867,20.97511,0.0141,NGC0976,91T
SN1999ej,20.73908,33.46611,0.0137,NGC0495,NV
SN1999ek,84.13167,16.63828,0.0175,UGC03329,NV
SN1999gd,129.60254,25.75919,0.0183,NGC2623,NV
SN1999gp,37.91313,39.38119,0.0267,UGC01993,91T
SN2000cp,241.36508,17.83022,0.0342,PGC057064,NV
SN2000cx,21.19229,9.50858,0.008076,NGC0524,00cx
SN2000dg,1.55754,8.88819,0.0385,PGC000465,NV
SN2000dk,16.848,32.40644,0.0175,NGC0382,NV
SN2000dm,274.74571,16.24817,0.0149,UGC11198,NV
SN2000dn,346.27442,-3.20028,0.0321,IC1468,NV
SN2000fa,108.8745,23.42844,0.0213,UGC03770,NV
SN2001ay,216.57083,26.24883,0.0302,IC4423,HV
SN2001br,277.60646,34.10361,0.0209,UGC11260,HV
