SN_name,EW6355,EW6355_err,EW5972,EW5972_err,min6355,min6355_err,min5972,dep6355,dep5972,v_si,v_si_err,R_si,phase,filename_csv,Del_Lambda
SN1991bg,103.1264003,0.14120932,47.66102752,0.154076109,6124.657991,1.608537977,5764.764765,0.592752733,0.372125014,1.087373762,1.00E-02,0.627791308,0,SN1991bg_1991-12-13_00-00-00_Lick-3m_UV-Schmidt_UCB-SNDB.csv,4.980192787
SN1994D,99.66730948,0.168700017,19.58317703,0.157942922,6131.131131,2.73E-12,5770.770771,0.637609748,0.179055242,1.056816061,0.00E+00,0.280822623,0.35,SN1994D_1994-03-21_08-24-00_FLWO-1.5m_FAST_CfA-Ia.csv,1.467083215
SN1994S,78.78062342,0.249377768,4.695396541,0.196217271,6138.538539,2.262055556,5776.776777,0.595989888,0.054295124,1.021847969,1.00E-02,0.091100746,1,SN_1994S_1994-06-16_00-00-00_Lick-3m_KAST_UCB-SNDB_0.csv,1.969612406
SN1996ai,81.51183822,0.902755877,17.32000897,0.980550179,6133.333333,2.89426072,5758.758759,0.528285075,0.09719863,1.046420142,1.00E-02,0.183988976,-0.1,SN_1996ai_1996-06-21_00-00-00_Lick-3m_KAST_UCB-SNDB_0.csv,1.992703557
SN1996C,82.98540255,0.632459944,10.4679855,0.515764011,6136.936937,2.153121896,5782.782783,0.594193022,0.113131315,1.029408638,1.00E-02,0.19039489,1.98,1996C_1996-02-17_11-31-12_FLWO-1.5m_FAST_CfA-Ia.csv,1.430808802
SN1996X,94.74195235,0.193463262,18.20978496,0.186605447,6112.178846,1.341324741,5748.748749,0.66142254,0.140934569,1.146283971,1.00E-02,0.213077965,0.31,SN1996X_1996-04-18_07-26-24_FLWO-1.5m_FAST_CfA-Ia.csv,1.456511364
SN1997bp,171.3447249,0.471766422,9.663791778,0.22901799,6031.564898,1.259123274,5732.732733,0.754942352,0.067632666,1.526837617,1.00E-02,0.089586531,-0.23,1997bp_1997-04-10_06-28-48_FLWO-1.5m_FAST_CfA-Ia.csv,1.457344467
SN1997dt,89.11262014,0.203628495,13.48024823,0.232239821,6122.255589,0.992063313,5772.772773,0.547646274,0.092905913,1.098714765,0.00E+00,0.169645841,0.21,1997dt_1997-12-04_02-38-24_FLWO-1.5m_FAST_CfA-Ia.csv,1.488544925
SN1997Y,110.3465413,0.202914248,26.83603829,0.438640588,6129.72973,1.173066122,5784.784785,0.690430802,0.200400581,1.063431646,1.00E-02,0.290254404,0,SN_1997Y_1997-02-09_00-00-00_Lick-3m_KAST_UCB-SNDB_0.csv,1.96817008
SN1998aq,77.42808654,0.125575861,10.29691438,0.113268928,6132.932933,0.600600601,5770.770771,0.568203617,0.085735969,1.048310309,0.00E+00,0.150889517,0.29,SN1998aq_1998-04-27_06-57-36_FLWO-1.5m_FAST_CfA-Ia.csv,1.493879139
SN1998bp,119.5652247,0.245989314,52.99106069,0.298467954,6125.725726,1.563613549,5770.770771,0.652270942,0.425217647,1.082333317,1.00E-02,0.651903403,0.05,1998bp_1998-05-03_10-48-00_FLWO-1.5m_FAST_CfA-Ia.csv,1.483827164
SN1998bu,92.46830865,0.140625454,16.69017603,0.185398617,6127.327327,0.600600601,5768.768769,0.623527692,0.133474998,1.074772648,0.00E+00,0.214064267,-0.84,SN1998bu_1998-05-18_03-50-24_FLWO-1.5m_FAST_CfA-Ia.csv,1.494938447
SN1998co,100.1376905,0.458945832,31.31225328,0.384984965,6127.527528,0.800800801,5772.772773,0.604019689,0.215730437,1.073827565,0.00E+00,0.357157955,-0.05,1998co_1998-06-23_10-48-00_FLWO-1.5m_FAST_CfA-Ia.csv,1.472609805
SN1998de,156.8872653,0.871264663,61.68310182,0.773196385,6123.990657,1.11865563,5792.792793,0.66656738,0.463054498,1.090524041,1.00E-02,0.694685207,-0.29,1998de_1998-08-01_09-50-24_FLWO-1.5m_FAST_CfA-Ia.csv,1.474782436
SN1998dh,121.4726931,0.243391182,24.61882588,0.326540816,6102.435769,1.076043744,5752.752753,0.723709188,0.162773572,1.192278037,1.00E-02,0.224915718,-0.54,1998dh_1998-08-04_08-38-24_FLWO-1.5m_FAST_CfA-Ia.csv,1.486478936
SN1998dk,102.8479918,0.107008807,16.31561085,0.229018772,6091.358025,0.680549818,5724.724725,0.629193627,0.097331126,1.244572661,0.00E+00,0.15469185,-0.1,SN_1998dk_1998-08-31_00-00-00_Lick-3m_KAST_UCB-SNDB_0.csv,1.973332996
SN1998dx,110.1487933,1.694170347,34.77395684,1.470302819,6104.971638,3.652701284,5772.772773,0.571004258,0.272631214,1.180306979,2.00E-02,0.47745916,-0.78,1998dx_1998-09-15_05-16-48_FLWO-1.5m_FAST_CfA-Ia.csv,1.422321479
SN1998ef,123.5404606,0.533275485,11.05246909,0.423874062,6086.886887,1.493695648,5772.772773,0.672010633,0.091786758,1.265679527,1.00E-02,0.136585276,1.31,1998ef_1998-10-29_07-26-24_FLWO-1.5m_FAST_CfA-Ia.csv,1.473314795
SN1998eg,96.23137143,0.404475398,19.74085935,0.650610357,6128.995662,0.499387039,5786.786787,0.659895646,0.153334773,1.066896952,0.00E+00,0.232362153,-0.85,1998eg_1998-10-24_03-36-00_FLWO-1.5m_FAST_CfA-Ia.csv,1.462970824
SN1998es,54.27984538,0.274480843,5.674260598,0.465750305,6140.14014,1.001001001,5770.770771,0.409597769,0.05422267,1.014287301,0.00E+00,0.132380285,-0.48,1998es_1998-11-25_05-16-48_FLWO-1.5m_FAST_CfA-Ia.csv,1.483690134
SN1998V,80.70427703,0.516083415,20.42987843,0.532076874,6129.062396,2.281657791,5786.786787,0.593125471,0.145683446,1.066581924,1.00E-02,0.245619946,-0.49,1998V_1998-03-19_12-14-24_FLWO-1.5m_FAST_CfA-Ia.csv,1.473767744
SN1999ac,85.98211407,0.222621345,15.1245959,0.230689057,6138.271605,1.840922819,5830.830831,0.461606102,0.106591654,1.023108081,1.00E-02,0.230914743,-1.47,SN1999ac_1999-03-12_12-43-12_FLWO-1.5m_FAST_CfA-Ia.csv,1.485300944
SN1999cc,128.1468295,0.837130601,35.72258048,0.804713953,6113.179847,6.709611139,5740.740741,0.668029409,0.219650195,1.141558553,3.00E-02,0.328803182,-0.2,1999cc_1999-05-17_09-36-00_FLWO-1.5m_FAST_CfA-Ia.csv,1.45376314
SN1999cl,126.4659642,0.245506043,21.34706719,0.920256067,6099.833166,0.964753573,5776.776777,0.615485678,0.152724389,1.204564124,0.00E+00,0.248136382,0.68,1999cl_1999-06-14_04-19-12_FLWO-1.5m_FAST_CfA-Ia.csv,1.487805954
SN1999dq,53.67371216,0.229519376,18.33861917,0.372983223,6134.134134,1.985248553,5818.818819,0.418503714,0.099127046,1.042639807,1.00E-02,0.236860613,0.45,1999dq_1999-09-15_10-48-00_FLWO-1.5m_FAST_CfA-Ia.csv,1.478563557
SN1999ej,108.826134,0.264160968,30.65580402,0.313576548,6131.398065,1.844547876,5768.768769,0.643025812,0.266684308,1.055555949,1.00E-02,0.414733441,1.1,1999ej_1999-11-02_04-48-00_FLWO-1.5m_FAST_CfA-Ia.csv,1.479146989
SN1999ek,110.7284574,3.869935535,29.50031479,1.122298044,6127.527528,2.334715473,5788.788789,0.678291197,0.257743931,1.073827565,1.00E-02,0.379990087,-0.63,1999ek_1999-10-30_11-16-48_FLWO-1.5m_FAST_CfA-Ia.csv,1.473622902
SN1999gd,104.4372082,1.07186016,26.41188571,1.531871798,6129.596263,1.980757034,5788.788789,0.656138468,0.234849578,1.064061701,1.00E-02,0.357926854,1.12,1999gd_1999-12-08_12-28-48_FLWO-1.5m_FAST_CfA-Ia.csv,1.47246519
SN1999gp,44.38947421,0.720276095,3.10294145,0.438014004,6110.577244,1.361099637,5784.784785,0.30557222,0.028890138,1.153844639,1.00E-02,0.094544385,0.03,1999gp_2000-01-07_03-07-12_FLWO-1.5m_FAST_CfA-Ia.csv,1.460418139
SN2000cp,82.76626178,1.290355088,17.45453805,1.407825819,6095.295295,3.283527421,5774.774775,0.412456217,0.122227205,1.225986017,2.00E-02,0.296339829,-0.56,2000cp_2000-06-24_08-09-36_FLWO-1.5m_FAST_CfA-Ia.csv,1.449827212
SN2000cx,40.71413339,0.199338374,3.482473106,0.147861425,6110.243577,1.7668605,5740.740741,0.348387166,0.04147329,1.155419779,1.00E-02,0.119043679,0.43,SN2000cx_2000-07-27_10-19-12_FLWO-1.5m_FAST_CfA-Ia.csv,1.487399068
SN2000dg,70.48922115,0.60289928,22.85761917,0.64966139,6122.188856,4.730075448,5764.764765,0.48414587,0.149178128,1.099029793,2.00E-02,0.308126408,0.17,2000dg_2000-09-03_08-52-48_FLWO-1.5m_FAST_CfA-Ia.csv,1.443824076
