SN_name,RA,DEC,redshift,host_name,Host_RA,Host_DEC,logd25,e_logd25,logr25,e_logr25,pa,t,t_err,host_type,host_mag,mu,R_host,ratio,ratio_err,SN_type,EW6355,EW6355_err,EW5972,EW5972_err,min6355,min6355_err,min5972,dep6355,dep5972,v_si,v_si_err,R_si,D15,D15_err,phase,filename_csv,Del_Lambda,umap_x,umap_y,DB_label
SN1994D,188.51021,7.70131,0.001494,NGC4526,188.512545,7.6992614,1.842,0.018,0.449,0.039,138.0,-1.9,0.4,S0,-20.48,30.928,15.250927789805097,0.0556568397695756,0.0023552543872034,NV,99.66730948,0.168700017,19.58317703,0.157942922,6131.131131,2.73e-12,5770.770771,0.637609748,0.179055242,1.056816061,0.0,0.280822623,1.37,0.03,0.35,SN1994D_1994-03-21_08-24-00_FLWO-1.5m_FAST_CfA-Ia.csv,1.467083215,6.5703435,6.7573915,2
SN1994S,187.84108,29.1345,0.015177,NGC4495,187.845363,29.1364417,1.128,0.035,0.373,0.027,131.98,2.1,0.6,Sab,-20.724,34.248,13.623733101821395,0.842822691618626,0.0707355075745955,NV,78.78062342,0.249377768,4.695396541,0.196217271,6138.538539,2.262055556,5776.776777,0.595989888,0.054295124,1.021847969,0.01,0.091100746,0.94,0.06,1.0,SN_1994S_1994-06-16_00-00-00_Lick-3m_KAST_UCB-SNDB_0.csv,1.969612406,6.5048966,5.816695,2
SN1996ai,197.74221,37.05983,0.0029,NGC5005,197.73447,37.058994,1.683,0.025,0.5,0.028,69.87,4.0,0.2,SABb,-21.959,31.66,14.577941000589473,0.1846925166727236,0.0109437196252273,NV,81.51183822,0.902755877,17.32000897,0.980550179,6133.333333,2.89426072,5758.758759,0.528285075,0.09719863,1.046420142,0.01,0.183988976,0.88,0.06,-0.1,SN_1996ai_1996-06-21_00-00-00_Lick-3m_KAST_UCB-SNDB_0.csv,1.992703557,4.940363,5.484154,1
SN1996C,207.7025,49.31864,0.027,PGC049153,207.703404,49.3151063,0.899,0.064,0.257,0.028,177.4,4.4,3.0,SABb,-20.66,35.695,15.728819312553483,0.5511764795183213,0.0875143441928091,NV,82.98540255,0.632459944,10.4679855,0.515764011,6136.936937,2.153121896,5782.782783,0.594193022,0.113131315,1.029408638,0.01,0.19039489,0.93,0.06,1.98,1996C_1996-02-17_11-31-12_FLWO-1.5m_FAST_CfA-Ia.csv,1.430808802,5.6852956,6.263261,1
SN1996X,199.50471,-26.84592,0.008876,NGC5061,199.521255,-26.8371305,1.574,0.027,0.092,0.027,109.74,-4.3,0.9,E,-21.431,32.312,17.34187986363677,0.6303246662257969,0.0404309265529571,NV,94.74195235,0.193463262,18.20978496,0.186605447,6112.178846,1.341324741,5748.748749,0.66142254,0.140934569,1.146283971,0.01,0.213077965,1.26,0.04,0.31,SN1996X_1996-04-18_07-26-24_FLWO-1.5m_FAST_CfA-Ia.csv,1.456511364,5.6002297,7.8817797,1
SN1997bp,191.72396,-11.64256,0.0083,NGC4680,191.728125,-11.6370833,1.135,0.033,0.255,0.04,40.38,0.3,1.5,S0-a,-20.049,32.905,7.703642624414367,0.6033244615975044,0.0476304886841991,HV,171.3447249,0.471766422,9.663791778,0.22901799,6031.564898,1.259123274,5732.732733,0.754942352,0.067632666,1.526837617,0.01,0.089586531,1.08,0.06,-0.23,1997bp_1997-04-10_06-28-48_FLWO-1.5m_FAST_CfA-Ia.csv,1.457344467,5.226597,10.937007,3
SN1997dt,345.01221,15.98081,0.0073,NGC7448,345.0153135,15.9801923,1.317,0.028,0.41,0.026,170.5,5.0,1.2,Sc,-21.96,33.119,12.897220804504592,0.4270640946410833,0.0284408122198078,NV,89.11262014,0.203628495,13.48024823,0.232239821,6122.255589,0.992063313,5772.772773,0.547646274,0.092905913,1.098714765,0.0,0.169645841,1.04,0.15,0.21,1997dt_1997-12-04_02-38-24_FLWO-1.5m_FAST_CfA-Ia.csv,1.488544925,5.591273,6.3665953,1
SN1997Y,191.38083,54.73806,0.0159,NGC4675,191.382879,54.7375711,1.128,0.076,0.499,0.045,91.69,3.0,0.4,SBb,-20.461,34.505,15.09023929655803,0.1667718255119319,0.0318937787932928,NV,110.3465413,0.202914248,26.83603829,0.438640588,6129.72973,1.173066122,5784.784785,0.690430802,0.200400581,1.063431646,0.01,0.290254404,1.15,0.09,0.0,SN_1997Y_1997-02-09_00-00-00_Lick-3m_KAST_UCB-SNDB_0.csv,1.96817008,7.0497384,6.893268,2
SN1998aq,179.10833,55.12744,0.003699,NGC3982,179.1171885,55.1252607,1.275,0.039,0.055,0.03,24.39,3.2,0.6,SABb,-20.191,31.849,6.478823258557715,0.3986817422463051,0.0374586878004902,NV,77.42808654,0.125575861,10.29691438,0.113268928,6132.932933,0.600600601,5770.770771,0.568203617,0.085735969,1.048310309,0.0,0.150889517,1.11,0.04,0.29,SN1998aq_1998-04-27_06-57-36_FLWO-1.5m_FAST_CfA-Ia.csv,1.493879139,5.2797136,5.7941074,1
SN1998bp,268.71129,18.33036,0.0105,NGC6495,268.7113665,18.3267183,1.158,0.083,0.129,0.057,75.0,-4.9,0.4,E,-19.79,33.259,10.50742090416564,0.4035702780549789,0.0849911473148277,NV,119.5652247,0.245989314,52.99106069,0.298467954,6125.725726,1.563613549,5770.770771,0.652270942,0.425217647,1.082333317,0.01,0.651903403,1.79,0.05,0.05,1998bp_1998-05-03_10-48-00_FLWO-1.5m_FAST_CfA-Ia.csv,1.483827164,8.2422285,8.212624,2
